Conf,Team
MPSF,Air Force
SEC,Alabama
MPSF,Alaska
Pac12,Arizona
Pac12,Arizona State
SEC,Arkansas
SEC,Auburn
MAC,Ball State
MRGC,Boise State
MAC,Bowling Green
GEC,Bridgeport
N/A,Brockport
GEC,Brown
MRGC,BYU
Pac12,California
MIC,Centenary College
MAC,Central Michigan
GEC,Cornell
N/A,Cortland State
Big12,Denver
MAC,Eastern Michigan
SEC,Florida
EAGL,George Washington
SEC,Georgia
N/A,Gustavus Adolphus
N/A,Hamline
Big10,Illinois
MIC,Illinois State
Big10,Iowa
Big12,Iowa State
N/A,Ithaca College
MAC,Kent State
SEC,Kentucky
MIC,Lindenwood
EAGL,LIU
SEC,LSU
Big10,Maryland
Big10,Michigan
Big10,Michigan State
BIG10,Minnesota
SEC,Missouri
Big10,Nebraska
EAGL,New Hampshire
EAGL,North Carolina
EAGL,North Carolina State
MAC,Northern Illinois
Big10,Ohio State
Big12,Oklahoma
PAC12,Oregon State
Big10,Penn State
GEC,Pennsylvania
EAGL,Pittsburgh
N/A,Rhode Island College
Big10,Rutgers
MIC,S.E. Missouri
MPSF,Sacramento State
MPSF,San Jose State
GEC,Southern Conn.
MRGC,Southern Utah
N/A,Springfield College
PAC12,Stanford
EAGL,Temple
MIC,Texas Woman's
EAGL,Towson
MPSF,UC Davis
Pac12,UCLA
N/A,Ursinus College
Pac12,Utah
MRGC,Utah State
N/A,UW-Eau Claire
N/A,UW-La Crosse
N/A,UW-Oshkosh
N/A,UW-Stout
N/A,UW-Whitewater
PAC12,Washington
GEC,West Chester
Big12,West Virginia
MAC,Western Michigan
GEC,William & Mary
N/A,Winona State
GEC,Yale
N/A,Seattle Pacific
N/A,UIC
N/A,Wilson College
N/A,Cal State-Fullerton
N/A,MIT
